,许可证编号,公司名称,更改日期
65,Z2007731000010,上海银生宝电子支付服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150196/index.html
66,Z2007844000014,深圳市银联金融网络有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150199/index.html
67,Z2007931000018,宝付网络科技（上海）有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150202/index.html
68,Z2008031000015,付临门支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150205/index.html
69,Z2008111000018,中金支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150208/index.html
70,Z2008231000013,上海富友支付服务股份有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150211/index.html
71,Z2008311000016,安易联融电子商务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150214/index.html
72,Z2008411000015,北京爱农驿站科技服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150217/index.html
73,Z2008611000013,北京首采联合电子商务有限责任公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150220/index.html
74,Z2008711000012,北京中欣银宝通支付服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150223/index.html
75,Z2008831000017,上海都市旅游卡发展有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150226/index.html
76,Z2008911000010,北京市政交通一卡通有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150229/index.html
77,Z2009111000016,北京雅酷时空信息交换技术有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150232/index.html
78,Z2009311000014,北京中投科信电子商务有限责任公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150235/index.html
79,Z2009431000019,上海商联信电子支付服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150238/index.html
80,Z2009531000018,安付宝商务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150241/index.html
81,Z2009731000016,上海纽斯达科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150247/index.html
82,Z2010031000011,上海大众交通商务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150256/index.html
83,Z2010131000010,杉德支付网络服务发展有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150259/index.html
84,Z2010231000019,卡友支付服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150262/index.html
85,Z2010331000018,汇潮支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150265/index.html
86,Z2010431000017,上海瀚银信息技术有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150268/index.html
87,Z2010531000016,银视通信息科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150271/index.html
88,Z2010631000015,上海程付通支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150274/index.html
89,Z2010712000017,天津融宝支付网络有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150277/index.html
90,Z2010832000012,南京苏宁易付宝网络科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150280/index.html
91,Z2010932000011,双乾网络支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150283/index.html
92,Z2011037000013,山东省电子商务综合运营管理有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150286/index.html
93,Z2011144000013,深圳市美的支付科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150289/index.html
94,Z2011244000012,嘉联支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150292/index.html
95,Z2011344000011,智付电子支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150295/index.html
96,Z2011411000019,北京滴滴支付技术有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150298/index.html
97,Z2011511000018,北京数码视讯支付技术有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150301/index.html
98,Z2011611000017,汇元银通（北京）在线支付技术有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150304/index.html
99,Z2011711000016,随行付支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150307/index.html
100,Z2011833000019,网易宝有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150310/index.html
101,Z2011933000018,浙江唯品会支付服务有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150313/index.html
102,Z2012033000015,浙江航天电子信息产业有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150316/index.html
103,Z2012133000014,浙江甬易电子支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150319/index.html
104,Z2012235000011,福建国通星驿网络科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150322/index.html
105,Z2012343000010,九派天下支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150325/index.html
106,Z2012445000017,广西恒大万通支付有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150328/index.html
107,Z2012565000011,新疆润物网络有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150331/index.html
108,Z2012737000014,山东网上有名网络科技有限公司,http://www.pbc.gov.cn/zhengwugongkai/4081330/4081344/4081407/4081702/4081749/4081783/4150334/index.html
